                                  SITUATIA MATERIALELOR

                                                                                                             
ADM PIETELOR PITESTI -  -   -  -   -                                                                         

CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|   40| NOTA PLATA NUM HOTEL                     |   10173|   car    |  NOU  |      52479.00 |     20.000|       1049580 | 16|UZ| 1|36| 3| 1|
|   41| AVIZ INSOTIRE MARFA                      |   10184|   car    |  NOU  |      12541.00 |      5.000|         62705 | 16|UZ| 1|36| 3| 1|
|   42| BON VALOARE FIXA 3000 LEI                |   10191|   car    |  NOU  |      28705.59 |     61.000|       1751041 | 16|UZ| 1|36| 3| 1|
|   43| BURGHIE DIF                              |   10203|   buc    |  NOU  |      21008.00 |     20.000|        420160 | 16|UZ| 1|50| 3| 1|
|   44| DISC                                     |   10221|   buc    |  NOU  |      63025.00 |     10.000|        630250 | 16|UZ| 1|50| 3| 1|
|   45| CLORURA VAR                              |   10222|    kg    |  NOU  |      18427.48 |    390.000|       7186717 | 16|UZ| 1|50| 3| 1|
|   46| SACI AMBALAJ                             |   10224|    b     |  NOU  |       7950.00 |  42170.000|     335251500 | 16|UZ| 1|50| 3| 1|
|   47| SACI AMBALAJ                             |   10224|   buc    |  NOU  |       7946.85 |   8800.000|      69932280 | 16|UZ| 1|50| 3| 1|
|   48| DOMESTOS FRESH                           |   10269|   buc    |  NOU  |      44800.00 |      9.000|        403200 | 16|UZ| 1|50| 3| 1|
|   49| FACTURI FISCALE MICI                     |   10270|   car    |  NOU  |      15324.60 |      5.000|         76623 | 16|UZ| 1|36| 3| 1|
|   50| TUS ARHI NEGRU                           |   10278|   buc    |  NOU  |      11960.00 |      2.000|         23920 | 16|UZ| 1|56| 3| 1|
|   51| FISE MAG FORM REGIM SP.                  |   10285|   buc    |  NOU  |       1193.28 |    100.000|        119328 | 16|UZ| 1|36| 3| 1|
|   52| HIRTIE IGENICA                           |   10320|   buc    |  NOU  |       2250.00 |   9670.000|      21757500 | 16|UZ| 1|50| 3| 1|
|   53| BON VAL FIXA 1MP-15000 LEI               |   10361|   car    |  NOU  |      31599.67 |     18.000|        568794 | 16|UZ| 1|36| 3| 1|
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|CONTUL: 16=600.02.05.24.05       RECHIZITE DE BIROU SI FURNITURI STOCABILE           Uz/St 0=UZ          GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 36 = REGIM SPECIAL          SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     2
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    MEDIU      | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |
|     |                                          |  FISA  | MASURA   |       |   PONDERAT    |           |               |   |St|  |  |  |  |
