

                      LISTA CU DENUMIREA MATERIALELOR
                      -------------------------------

                                                          PAGINA:          1
|------|-------------|-------------|----------------------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |
|CURENT|    FISEI    | MATERIALULUI|                                        |
|------|-------------|-------------|----------------------------------------|
|   106|     30642   |             |JGHEAB                                  |
|   107|     30623   |             |LAVABILA 5.5                            |
|   108|     10079   |             |LISTE INVENTAR                          |
|   109|     10055   |             |MATURI SORG                             |
|   110|     30502   |             |MOTORINA BON VAL FIXA 200000            |
|   111|     10970   |             |NIR                                     |
|   112|     10173   |             |NOTA PLATA NUM HOTEL                    |
|   113|     10130   |             |NOTE RECEPTII                           |
|   114|     30514   |             |ODORIZANT CAMERA GLADE                  |
|   115|     30512   |             |ODORIZANT WC SOLID                      |
|------|-------------|-------------|----------------------------------------|                                                          PAGINA:          3
|------|-------------|-------------|----------------------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |
|CURENT|    FISEI    | MATERIALULUI|                                        |
|------|-------------|-------------|----------------------------------------|
|   116|     30641   |             |OTEL U80                                |
|   117|     30531   |             |PASTA CORECTOARE                        |
|   118|     10087   |             |PENSULA                                 |
|   119|     30633   |             |PERII SARMA                             |
|   120|     30629   |             |PISTOL POP                              |
|   121|     30534   |             |PIX BIC PRISMA BALL                     |
|   122|     30533   |             |PIX CENTRUM PIONNER                     |
|   123|     30536   |             |PIX REYNOLDS                            |
|   124|     30535   |             |PIX SCHNEIDER                           |
|   125|     30648   |             |PLACA CUTATA PAFS                       |
|   126|     30631   |             |POP NIT                                 |
|   127|     10007   |             |PRIZE ST CU CAPAC                       |
|   128|     30627   |             |PRIZE TRIF.                             |
|   129|     30619   |             |RACORD PEXAL 16X3/8                     |
|   130|     10972   |             |REG. DE CASA                            |
|   131|     30525   |             |REGISTRU ECONOMIC                       |
|   132|     30614   |             |REZERVE TRAFALET                        |
|   133|     30516   |             |RIVEX CLOR                              |
|   134|     10224   |             |SACI AMBALAJ                            |
|   135|     10591   |             |SACI FOLIE 1200/1100                    |
|   136|     10955   |             |SAPUN                                   |
|   137|     30571   |             |SARE                                    |
|   138|     10574   |             |SILICON                                 |
|   139|     10962   |             |SIRMA                                   |
|   140|     10052   |             |SODA CALCINATA                          |
|   141|     10058   |             |SODA CAUST.                             |
|   142|     30639   |             |STALP 1 BRAT                            |
|   143|     30638   |             |STALP 2 BRATE                           |
|   144|     10004   |             |STARTARE                                |
|   145|     30543   |             |STARTER 4-20W                           |
|   146|     30544   |             |STARTER 4-80W                           |
|   147|     10005   |             |STECHERE                                |
|   148|     30542   |             |SUPER KILLER                            |
|   149|     10100   |             |TABLA                                   |
|   150|     10026   |             |TEAVA REFULARE                          |
|   151|     10086   |             |TIMBRE POSTALE                          |
|   152|     30612   |             |TRAFALET                                |
|   153|     30620   |             |TRAFALET+GRATAR                         |
|   154|     10014   |             |TUB LFA 2O W                            |
|   155|     10013   |             |TUB LFA 4O W                            |
|   156|     10278   |             |TUS ARHI NEGRU                          |
|   157|     30197   |             |ULEI HIDRAULIC 46A                      |
|   158|     30214   |             |ULEI MOTOR  DIESEL M30S2 20             |
|   159|     30215   |             |ULEI TRANSMISIE                         |
|   160|     30546   |             |USA DALLAS                              |
|   161|     30643   |             |USA METALICA                            |
|   162|     30652   |             |USI ALUMINIU                            |
|   163|     30001   |             |VAL TIP CARNETE BCF                     |
|   164|     30505   |             |VAL TIP IMPR.BCF MOTORINA               |
|   165|     20131   |             |VAS WC                                  |
|   166|     10050   |             |VOPSEA ALBA                             |
|   167|     30547   |             |VOPSEA ALBASTRU                         |
|   168|     10049   |             |VOPSEA GALBENA                          |
|   169|     30625   |             |VOPSEA LAVABILA 1/1                     |
|   170|     10458   |             |VOPSEA NEAGRA                           |
|   171|     10490   |             |VOPSEA PLAST LAVABILA                   |
|   172|     30621   |             |VOPSEA ROMGRIZ                          |
|   173|     10048   |             |VOPSEA ROSIE                            |
|   174|     30613   |             |VOPSEA SANITAS                          |
|------|-------------|-------------|----------------------------------------|
|------|-------------|-------------|----------------------------------------|