                                                                          BALANTA ANALITICA
                                                           A MATERIALELOR PENTRU PERIOADA  01/01/2016 - 22/06/2016


                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|   43|   10595| DETERG.SONEGO SUPER-PT PIETE            | kg         | NOU     |   562    |    0     |    0     |   562    |       8313649 |               |               |       8313649 |
|   44|   10903| BON VALOARE FIXA                        | car        | NOU     |    4     |    0     |    0     |    4     |         40134 |               |               |         40134 |
|   45|   10958| CALGON AUTOMAT                          | buc        | NOU     |    16    |    0     |    0     |    16    |       2389417 |               |               |       2389417 |
|   46|   10961| BECURI COLORATE                         | buc        | NOU     |   200    |    0     |    0     |   200    |       2113282 |               |               |       2113282 |
|   47|   10963| BON DE CONSUM                           | car        | NOU     |    36    |    0     |    0     |    36    |        170483 |               |               |        170483 |
|   48|   10964| BON CU VALOARE FIXA                     | car        | NOU     |    39    |    0     |    0     |    39    |        342831 |               |               |        342831 |
|   49|   10965| CHIT.INCHIR.OBIECTE                     | car        | NOU     |    41    |    0     |    0     |    41    |       1092159 |               |               |       1092159 |
|   50|   10966| CHITANTA COD 14-4-1                     | set        | NOU     |   144    |    0     |    0     |   144    |       3835873 |               |               |       3835873 |
|   51|   10967| FOI PARCURS                             | car        | NOU     |    1     |    0     |    0     |    1     |          9767 |               |               |          9767 |
|   52|   10969| FACTURI FISCALE A6                      | car        | NOU     |    50    |    0     |    0     |    50    |       2371732 |               |               |       2371732 |
|   53|   10970| NIR                                     | buc        | NOU     |    4     |    0     |    0     |    4     |         41436 |               |               |         41436 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  22/06/2016                                                                                                              
  -  -   -  -   -                                                                                                            PERIOADA:  01/01/2016 - 22/06/2016            pagina:     2
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.|  INTRARI |  IESIRI  |   STOC   |  SOLD INITIAL |     DEBIT     |     CREDIT    |      SOLD     |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|   54|   10972| REG. DE CASA                            | buc        | NOU     |    1     |    0     |    0     |    1     |         10359 |               |               |         10359 |
|   55|   10973| CONDICII PREZENTA                       | buc        | NOU     |    21    |    0     |    0     |    21    |       1516294 |               |               |       1516294 |
|   56|   10974| BON VAL.FIXA 2000LEI                    | buc        | NOU     |   1816   |    0     |    0     |   1816   |      35690792 |               |               |      35690792 |
|   57|   10975| BON VAL.FIXA 5000LEI                    | buc        | NOU     |   1471   |    0     |    0     |   1471   |      28495844 |               |               |      28495844 |
|   58|   10976| BON VAL.FIXA 75000LEI M.A               | buc        | NOU     |   112    |    0     |    0     |   112    |       2201194 |               |               |       2201194 |
|   59|   10977| BON VAL.FIXA 10000LEI                   | buc        | NOU     |    34    |    0     |    0     |    34    |        668220 |               |               |        668220 |
