

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   214|    640738   |             |CONTAINER TIP ADMINISTRATIV II/6        |12,  ,  |  ,  ,  |  ,  ,  |
|   215|    640739   |             |CONTAINER TIP ADMINISTRATIV II/7        |12,  ,  |  ,  ,  |  ,  ,  |
|   216|    640740   |             |CONTAINER TIP ADMINISTRATIV II/8        |12,  ,  |  ,  ,  |  ,  ,  |
|   217|    640741   |             |CONTAINER TIP ADMINISTRATIV II/9        |12,  ,  |  ,  ,  |  ,  ,  |
|   218|    640742   |             |CONTAINER TIP ADMINISTRATI II/10        |12,  ,  |  ,  ,  |  ,  ,  |
|   219|    640743   |             |CONTAINER TIP ADMINISTRATIV II/11       |12,  ,  |  ,  ,  |  ,  ,  |
|   220|    640744   |             |CONTAINER TIP ADMINISTRATIV II/12       |12,  ,  |  ,  ,  |  ,  ,  |
|   221|    640745   |             |CONTAINER TIP ADMINISTRATIV II/13       |12,  ,  |  ,  ,  |  ,  ,  |
|   222|    640746   |             |CONTAINER TIP ADMINISTRATIV II/14       |12,  ,  |  ,  ,  |  ,  ,  |
|   223|    640747   |             |CONTAINER TIP ADMINISTRATIV II/15       |12,  ,  |  ,  ,  |  ,  ,  |
|   224|    640748   |             |CONTAINER TIP ADMINISTRATIV II/16       |12,  ,  |  ,  ,  |  ,  ,  |
|   225|    640749   |             |CONTAINER TIP ADMINISTATIV II/17        |12,  ,  |  ,  ,  |  ,  ,  |
|   226|    640750   |             |CONTAINER TIP ADMINISTRATIV II/18       |12,  ,  |  ,  ,  |  ,  ,  |
|   227|    640751   |             |CONTAINER TIP ADMINISTRATIV II/19       |12,  ,  |  ,  ,  |  ,  ,  |
|   228|    640752   |             |CONTAINER TIP MAG.ECHIP.                |12,  ,  |  ,  ,  |  ,  ,  |
|   229|    640753   |             |CONTAINER TIP MAG.ECHIP./1              |12,  ,  |  ,  ,  |  ,  ,  |
|   230|    640754   |             |CONTAINER TIP MAG.ECHIP./2              |12,  ,  |  ,  ,  |  ,  ,  |
|   231|    640755   |             |CONTAINER TIP MAG.ECHIP./3              |12,  ,  |  ,  ,  |  ,  ,  |
|   232|    640756   |             |CONTAINER TIP MAG.ECHIP./4              |12,  ,  |  ,  ,  |  ,  ,  |
|   233|    640757   |             |CONTAINER TIP HOL INTERMEDIAR II        |12,  ,  |  ,  ,  |  ,  ,  |
|   234|    640758   |             |CONTAINER TIP HOL CU 2 USI II           |12,  ,  |  ,  ,  |  ,  ,  |
|   235|    640759   |             |CONTAINER TIP HOL CU 2 USI/1            |12,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          5
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   236|    640760   |             |CONTAINER TIP GRUP SANITAR/WC           |12,  ,  |  ,  ,  |  ,  ,  |
|   237|    640761   |             |SCARI ACCES CU BALUSTRADA SI PLATFORM.1 |12,  ,  |  ,  ,  |  ,  ,  |
|   238|    640762   |             |INSTALATIE PROTECTIE LA TRASNET         |12,  ,  |  ,  ,  |  ,  ,  |
|   239|    640763   |             |APARAT AER CONDITIONAT INVERTOR PREMIUM | 6,  ,  |  ,  ,  |  ,  ,  |
|   240|    640764   |             |ASCENSOR TRANSPORT PACIENTI             |10,  ,  |  ,  ,  |  ,  ,  |
|   241|    640765   |             |CONTAINER TIP ADMINISTRATIV(II)         |12,  ,  |  ,  ,  |  ,  ,  |
|   242|    640766   |             |CONTAINER TIP ADMINISTRATIV(II)/1       |12,  ,  |  ,  ,  |  ,  ,  |
|   243|    640767   |             |CONTAINER TIP ADMINISTRATIV(II)/2       |12,  ,  |  ,  ,  |  ,  ,  |
|   244|    640768   |             |CONTAINER TIP ADMINISTRATIV(II)/3       |12,  ,  |  ,  ,  |  ,  ,  |
|   245|    640769   |             |CONTAINER TIP ADMINISTRATIV(II)/4       |12,  ,  |  ,  ,  |  ,  ,  |
|   246|    640770   |             |CONTAINER TIP ADMINISTRATIV(II)5        |12,  ,  |  ,  ,  |  ,  ,  |
|   247|    640771   |             |SCARA ACCES CU BALUSTRADA SI PLATFORMA  |12,  ,  |  ,  ,  |  ,  ,  |
|   248|    640772   |             |CONTAINER TIP MAGAZIE(I)                |12,  ,  |  ,  ,  |  ,  ,  |
|   249|    640773   |             |CONTAINER TIP MKAGAZIE(I)/1             |12,  ,  |  ,  ,  |  ,  ,  |
|   250|    640774   |             |CONTAINER TIP MAGAZIE(I)/2              |12,  ,  |  ,  ,  |  ,  ,  |
|   251|    640775   |             |CONTAINER TIP MAGAZIE(I)/3              |12,  ,  |  ,  ,  |  ,  ,  |
|   252|    640776   |             |CONTAINER TIP MAGAZIE(I)/4              |12,  ,  |  ,  ,  |  ,  ,  |
|   253|    640777   |             |CONTAINER TIP MAGAZIE(I)/5              |12,  ,  |  ,  ,  |  ,  ,  |
|   254|    640778   |             |CONTAINER TIP HOL CU 2 USI/2            |12,  ,  |  ,  ,  |  ,  ,  |
|   255|    640779   |             |CONTAINER TIP HOL CU 2 USI/3            |12,  ,  |  ,  ,  |  ,  ,  |
|   256|    640780   |             |CONTAINER TIP HOL CU 2 USI/4            |12,  ,  |  ,  ,  |  ,  ,  |
|   257|    640781   |             |CONTAINER TIP HOL CU 2 USI/5            |12,  ,  |  ,  ,  |  ,  ,  |
|   258|    640782   |             |CONTAINER TIP HOL CU 2 USI/6            |12,  ,  |  ,  ,  |  ,  ,  |
|   259|    640783   |             |CONTAINER TIP GRUP SANITAR              |12,  ,  |  ,  ,  |  ,  ,  |
|   260|    640784   |             |CONTAINER TIP ADMINISTRATIV(III)        |12,  ,  |  ,  ,  |  ,  ,  |
|   261|    640785   |             |CONTAINER TIP GRUP SANITAR(WC)/1        |12,  ,  |  ,  ,  |  ,  ,  |
|   262|    640786   |             |CASCADA/INSTALATIE ARTEZIANA DEC,DE EXT.|12,  ,  |  ,  ,  |  ,  ,  |
|   263|    640787   |             |RAMPA ACCES CONTAINER                   |12,  ,  |  ,  ,  |  ,  ,  |
|   264|    640788   |             |GRUP ELECTROGEN 110KVA                  |15,  ,  |  ,  ,  |  ,  ,  |
|   265|    640789   |             |MASINA DE SPALAT RUFE 25KG*             | 6,  ,  |  ,  ,  |  ,  ,  |
|   266|    640790   |             |MODUL CONTAINERIZAT MC1-MED./DEP.FARM.  |12,  ,  |  ,  ,  |  ,  ,  |
|   267|    640791   |             |MODUL CONTAINERIZAT MC2-COMANDAMENT P+1E|12,  ,  |  ,  ,  |  ,  ,  |
|   268|    640793   |             |MODUL CONTAINERIZAT MC3-FARMACIE PARTER |12,  ,  |  ,  ,  |  ,  ,  |
|   269|    640794   |             |MODUL CONTAINERIZAT MC3-ADMINISTRATIV   |12,  ,  |  ,  ,  |  ,  ,  |
|   270|    640795   |             |CONTAINER TIP GRUP SANIT.+WC CU DUS     | 8,  ,  |  ,  ,  |  ,  ,  |
|   271|    640796   |             |MODUL CONTAINERIZAT MC4-ARHIVA P+1E     |12,  ,  |  ,  ,  |  ,  ,  |
|   272|    640797   |             |MODUL CONTAINERIZAT MC5-MEDICAL/TRIAJ/EX|12,  ,  |  ,  ,  |  ,  ,  |
|   273|    640798   |             |MODUL CONTAINERIZAT MC6-VESTIAR CAZARM. |12,  ,  |  ,  ,  |  ,  ,  |
|   274|    640799   |             |MODUL CONTAINERIZ. MC7-ADMIN/ANEXA CONTR|12,  ,  |  ,  ,  |  ,  ,  |
|   275|    640800   |             |GRUP ELECTROGEN 110KVA/MD.ECOYD-110     |15,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|



















|------|-------------|-------------|----------------------------------------|--------|--------|--------|