                                                                          BALANTA ANALITICA
                                                          A MIJLOACELOR FIXE PENTRU PERIOADA  01/12/2012 - 31/12/2012


 214                    MOBILIER SI APARATURA BIROTICA                                                        
  -  -   -  -   -                                                                                                            PERIOADA:  01/12/2012 - 31/12/2012            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   31|  300066| SISTEM DE CALCUL AMD K7 DUROM 750 MHZ 2 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   32|  300067| SISTEM DE CALCUL AMD K7 DURON 750MHZ 3  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   33|  300068| SISTEM DE CALCUL AMD K7 DURON 750 MHZ 4 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   34|  300069| SISTEM DE CALCUL AMD K7 DURON 750 MHZ 5 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   35|  300070| SISTEM DE CALCUL AMD K7 DURON 750 MHZ 6 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   36|  300071| SISTEM DE CALCUL AMD K7 DURON 750 MHZ 7 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       5760.00 |          0.00 |          0.00 |       5760.00 |
|   37|  300072| NOOTEBOOK ASOS L8400/1                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10440.00 |          0.00 |          0.00 |      10440.00 |
|   38|  300073| NOTEBOOK ASOS L8400 /2                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10440.00 |          0.00 |          0.00 |      10440.00 |
|   39|  300074| NOTEBOOK ASOS L 8400 /3                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10440.00 |          0.00 |          0.00 |      10440.00 |
|   40|  300075| SISTEM CALCUL P4                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2663.87 |          0.00 |          0.00 |       2663.87 |
|   41|  300076| SISTEM CALCUL PENTIUM IV                | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2285.67 |          0.00 |          0.00 |       2285.67 |
