                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2026 - 14/01/2026


                                                                                                              
 INFORMAT/TRANSMIS. -  -  INFO/TRANSM.ADMINIST -  -   -                                                                      PERIOADA:  01/01/2026 - 14/01/2026            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   33|  300200| MULTIFUNCTIONAL MINOLTA A3 C22/1        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10341.10 |          0.00 |          0.00 |      10341.10 |
|   34|  300204| SITEM PC WORKSTATION/3                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3272.50 |          0.00 |          0.00 |       3272.50 |
|   35|  300216| PC WORKSTATION/6                        | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2945.00 |          0.00 |          0.00 |       2945.00 |
|   36|  300231| IMPRIMANTA LASER COLOR A3 BH C227       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10696.32 |          0.00 |          0.00 |      10696.32 |
|   37|  300232| IMPRIMANTA LASER COLOR A3 BHC227/1      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      10696.32 |          0.00 |          0.00 |      10696.32 |
|   38|  300234| PC ALLINONE HP200G3/1                   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   39|  300235| PC ALLINONE HP 200G3/2                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   40|  300236| PC ALLINONE HP 200G3/4                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   41|  300237| PC ALLINONE HP 200G3/3                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   42|  300238| PC ALLINONE HP 200G3/5                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   43|  300239| PC ALLINONE HP 200G3/6                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   44|  300240| PC ALLINONE HP 200G3/7                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   45|  300241| PC ALLINONE HP 200G3/8                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   46|  300242| PC ALLINONE HP 200G3/9                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   47|  300243| PC ALLINONE HP 200G3/10                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   48|  300244| PC ALLINONE HP 200G3/11                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   49|  300245| PC ALLINONE HP 200G3/12                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   50|  300246| PC ALLIONE HP 200G3/13                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   51|  300247| PC ALLINONE HP 200G3/14                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   52|  300248| PC ALLIN ONE HP 200G3/15                | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   53|  300249| PC ALLINONE HP 200G3/16                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  14/01/2026                                                                                                              
 INFORMAT/TRANSMIS. -  -  INFO/TRANSM.ADMINIST -  -   -                                                                      PERIOADA:  01/01/2026 - 14/01/2026            pagina:     2
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|   54|  300250| PC ALLINONE HP 200G3/17                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2737.00 |          0.00 |          0.00 |       2737.00 |
|   55|  300272| COMPUTER DESKTOP IMAC 27                | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      11720.00 |          0.00 |          0.00 |      11720.00 |
|   56|  300273| SERVER WEB LENOVO SR530                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      24990.00 |          0.00 |          0.00 |      24990.00 |
|   57|  300274| CANON IRC3125  A3COLOR                  | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       9639.00 |          0.00 |          0.00 |       9639.00 |
|   58|  300275| CANON IRC3125I A3 COLOR                 | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       9639.00 |          0.00 |          0.00 |       9639.00 |
|   59|  300276| SISTEM ARHIVARE IMAGISTICA PACS         | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |     160650.00 |          0.00 |          0.00 |     160650.00 |
|   60|  300279| PC DESKTOP INTEL i3/1                   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1546.41 |          0.00 |          0.00 |       1546.41 |
|   61|  300281| PC DESKTOP INTEL i3/3                   | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       1546.41 |          0.00 |          0.00 |       1546.41 |
|   62|  300287| STATIE LUCRU AIO LENOVO/1               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2958.04 |          0.00 |          0.00 |       2958.04 |
|   63|  300291| STATIE LUCRU AIO LENOVO/5               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       2958.04 |          0.00 |          0.00 |       2958.04 |
|   64|  300301| STATIE LUCRU INTEL CORE 3               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3150.96 |          0.00 |          0.00 |       3150.96 |
|   65|  300302| STATIE LUCRU INTEL CORE 1               | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |       3039.12 |          0.00 |          0.00 |       3039.12 |
|   66|  300306| ROUTER CLOUD EDGE                       | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      65034.30 |          0.00 |          0.00 |      65034.30 |
|   67|  300307| ROUTER CLOUD EDGE C-NIM 4X              | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      84116.49 |          0.00 |          0.00 |      84116.49 |
|   68|  300308| PRODUS X-7006-6002                      | bucati     | FOLOS.  |    1     |    0     |    0     |    1     |      20835.62 |          0.00 |          0.00 |      20835.62 |
