

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|    59|     20079   |             |MESE MOZAICATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|    60|     20080   |             |GRILAJ FIER GEAM                        |10,  ,  |  ,  ,  |  ,  ,  |
|    61|     20081   |             |GRILAJ USA                              |10,  ,  |  ,  ,  |  ,  ,  |
|    62|     20082   |             |LUSTRA CU 3 BRATE                       |10,  ,  |  ,  ,  |  ,  ,  |
|    63|     20083   |             |BIROU LAMIITA                           |10,  ,  |  ,  ,  |  ,  ,  |
|    64|     20084   |             |VESTIARE 4 COMP                         |10,  ,  |  ,  ,  |  ,  ,  |
|    65|     20085   |             |ACOPERIS MESE INOX                      |10,  ,  |  ,  ,  |  ,  ,  |
|    66|     20087   |             |PUBELE GUNOI                            |10,  ,  |  ,  ,  |  ,  ,  |
|    67|     20088   |             |STAMPILA TRIUNGHIULARA                  |10,  ,  |  ,  ,  |  ,  ,  |
|    68|     20089   |             |APOMETRU                                |10,  ,  |  ,  ,  |  ,  ,  |
|    69|     20090   |             |TIRNACOP                                |10,  ,  |  ,  ,  |  ,  ,  |
|    70|     20091   |             |MESE BUFET                              |10,  ,  |  ,  ,  |  ,  ,  |
|    71|     20092   |             |CINTARE 20 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|    72|     20093   |             |CINTARE 10 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|    73|     20094   |             |CINTARE 5 KG                            |10,  ,  |  ,  ,  |  ,  ,  |
|    74|     20095   |             |GREUTATI 5 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|    75|     20096   |             |GREUTATI 2 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|    76|     20097   |             |GREUTATI 1 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|    77|     20098   |             |GREUTATI O.500 KG                       |10,  ,  |  ,  ,  |  ,  ,  |
|    78|     20099   |             |GREUTATI 0.200 KG                       |10,  ,  |  ,  ,  |  ,  ,  |
|    79|     20100   |             |GREUTATI  A 0.100 KG                    |10,  ,  |  ,  ,  |  ,  ,  |
|    80|     20101   |             |CONFECTII METALICE                      |10,  ,  |  ,  ,  |  ,  ,  |
|    81|     20102   |             |MICROFON                                |10,  ,  |  ,  ,  |  ,  ,  |
|    82|     20103   |             |CORP MOBIL                              |10,  ,  |  ,  ,  |  ,  ,  |
|    83|     20104   |             |BOXE RADIO                              |10,  ,  |  ,  ,  |  ,  ,  |
|    84|     20105   |             |FIRMA PLASTIC                           |10,  ,  |  ,  ,  |  ,  ,  |
|    85|     20106   |             |FIRME SECTORIZARE                       |10,  ,  |  ,  ,  |  ,  ,  |
|    86|     20108   |             |CARUCIOR BASCULA                        |10,  ,  |  ,  ,  |  ,  ,  |
|    87|     20111   |             |SCARA METALICA                          |10,  ,  |  ,  ,  |  ,  ,  |
|    88|     20112   |             |FURCULITE                               |10,  ,  |  ,  ,  |  ,  ,  |
|    89|     20113   |             |CUTITE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|    90|     20114   |             |SERVICIU MASA 6                         |10,  ,  |  ,  ,  |  ,  ,  |
|    91|     20116   |             |BIROU B1 V3                             |10,  ,  |  ,  ,  |  ,  ,  |
|    92|     20117   |             |CONTOR TRIFAZIC                         |10,  ,  |  ,  ,  |  ,  ,  |
|    93|     20120   |             |OGLINDA                                 |10,  ,  |  ,  ,  |  ,  ,  |
|    94|     20123   |             |USA METALICA                            |10,  ,  |  ,  ,  |  ,  ,  |
|    95|     20125   |             |TONETE INCASARI                         |10,  ,  |  ,  ,  |  ,  ,  |
|    96|     20126   |             |GALETI ZINCATE                          |10,  ,  |  ,  ,  |  ,  ,  |
|    97|     20127   |             |PAHARE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|    98|     20128   |             |TABLA SECTORIZARE                       |10,  ,  |  ,  ,  |  ,  ,  |
|    99|     20129   |             |SALTELE                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   100|     20130   |             |PLITA CU RAMA                           |10,  ,  |  ,  ,  |  ,  ,  |
|   101|     20131   |             |VAS WC                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   102|     20134   |             |PATURI MELANA                           |10,  ,  |  ,  ,  |  ,  ,  |
|   103|     20136   |             |REZERVOR WC                             |10,  ,  |  ,  ,  |  ,  ,  |
|   104|     20137   |             |BARIERA                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   105|     20145   |             |CUIERE PERETE HOTEL                     |10,  ,  |  ,  ,  |  ,  ,  |
|   106|     20146   |             |DULAP CRUCE ROSIE                       |10,  ,  |  ,  ,  |  ,  ,  |
|   107|     20147   |             |GARNITURI PAT                           |10,  ,  |  ,  ,  |  ,  ,  |
|   108|     20149   |             |LIGHEANE                                |10,  ,  |  ,  ,  |  ,  ,  |
|   109|     20151   |             |PERNE BURDUF                            |10,  ,  |  ,  ,  |  ,  ,  |
|   110|     20152   |             |RAME REGULAMENT                         |10,  ,  |  ,  ,  |  ,  ,  |
|   111|     20154   |             |MASA FANTEZIE                           |10,  ,  |  ,  ,  |  ,  ,  |
|   112|     20155   |             |FOTOLII                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   113|     20156   |             |MASA PERSONAL                           |10,  ,  |  ,  ,  |  ,  ,  |
|   114|     20157   |             |SCAUNE WC                               |10,  ,  |  ,  ,  |  ,  ,  |
|   115|     20158   |             |APLICE DREPTE                           |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          3
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   116|     20159   |             |PENDULE                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   117|     20160   |             |RAFTURI LENJERIE                        |10,  ,  |  ,  ,  |  ,  ,  |
|   118|     20162   |             |MASINI CALCULAT AURORA                  |10,  ,  |  ,  ,  |  ,  ,  |
|   119|     20163   |             |SET PT SARE PIPER                       |10,  ,  |  ,  ,  |  ,  ,  |
|   120|     20164   |             |ALARMA CASIERIE                         |10,  ,  |  ,  ,  |  ,  ,  |
|   121|     20165   |             |DULAP METALIC PT SCULE                  |10,  ,  |  ,  ,  |  ,  ,  |
|   122|     20166   |             |APARAT TELEFONIC                        |10,  ,  |  ,  ,  |  ,  ,  |
|   123|     20168   |             |OFICCE 2000                             |10,  ,  |  ,  ,  |  ,  ,  |
|   124|     20169   |             |LAMPA BIROU                             |10,  ,  |  ,  ,  |  ,  ,  |
|   125|     20177   |             |LINGURITE                               |10,  ,  |  ,  ,  |  ,  ,  |
|   126|     20179   |             |GEANTA DIPLOMAT                         |10,  ,  |  ,  ,  |  ,  ,  |
|   127|     20180   |             |FILTRU CAFEA                            |10,  ,  |  ,  ,  |  ,  ,  |
|   128|     20181   |             |HUSE MONITOR                            |10,  ,  |  ,  ,  |  ,  ,  |
|   129|     20182   |             |STAMPILE                                |10,  ,  |  ,  ,  |  ,  ,  |
|   130|     20183   |             |CUTIE MET CARTI MUNCA                   |10,  ,  |  ,  ,  |  ,  ,  |
|   131|     20186   |             |BIROU FEMEI                             |10,  ,  |  ,  ,  |  ,  ,  |
|   132|     20188   |             |APARAT RADIO                            |10,  ,  |  ,  ,  |  ,  ,  |
|   133|     20189   |             |MASA SEDINTA                            |10,  ,  |  ,  ,  |  ,  ,  |
|   134|     20191   |             |SCAUNE 234 NEGRE                        |10,  ,  |  ,  ,  |  ,  ,  |
|   135|     20192   |             |LUSTRE CU VENTILATOR                    |10,  ,  |  ,  ,  |  ,  ,  |
|   136|     20193   |             |OCHELARI PROTECTIE                      |10,  ,  |  ,  ,  |  ,  ,  |
|   137|     20195   |             |MENGHINA                                |10,  ,  |  ,  ,  |  ,  ,  |
|   138|     20197   |             |RULETA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   139|     20201   |             |CIOCANE 0500                            |10,  ,  |  ,  ,  |  ,  ,  |
|   140|     20204   |             |CHEI INELARE                            |10,  ,  |  ,  ,  |  ,  ,  |
|   141|     20208   |             |SPACLU                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   142|     20212   |             |TRUSA SUDURA O7.95                      |10,  ,  |  ,  ,  |  ,  ,  |
|   143|     20217   |             |CLESTE MOX                              |10,  ,  |  ,  ,  |  ,  ,  |
|   144|     20219   |             |FIERASTRAU                              |10,  ,  |  ,  ,  |  ,  ,  |
|   145|     20222   |             |TRUSA CHEI FIXE                         |10,  ,  |  ,  ,  |  ,  ,  |
|   146|     20226   |             |RADIOCASET AUTO                         |10,  ,  |  ,  ,  |  ,  ,  |
|   147|     20227   |             |COVORASE AUTO                           |10,  ,  |  ,  ,  |  ,  ,  |
|   148|     20231   |             |MASA HOL MD 121                         |10,  ,  |  ,  ,  |  ,  ,  |
|   149|     20232   |             |FOTOLIU EXT                             |10,  ,  |  ,  ,  |  ,  ,  |
|   150|     20233   |             |COLOP STAMPILE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   151|     20235   |             |TRUSA SCULE                             |10,  ,  |  ,  ,  |  ,  ,  |
|   152|     20236   |             |JALUZELE                                |10,  ,  |  ,  ,  |  ,  ,  |
|   153|     20238   |             |SOBA TERACOTA                           |10,  ,  |  ,  ,  |  ,  ,  |
|   154|     20239   |             |CIOCAN 1.5 KG                           |10,  ,  |  ,  ,  |  ,  ,  |
|   155|     20241   |             |MASINA CUSUT                            |10,  ,  |  ,  ,  |  ,  ,  |
|   156|     20242   |             |TELEVIZOR SPORT                         |10,  ,  |  ,  ,  |  ,  ,  |
|   157|     20243   |             |TELEVIZOR CU ANTENA                     |10,  ,  |  ,  ,  |  ,  ,  |
|   158|     20264   |             |TONETE TIP APROZAR                      |10,  ,  |  ,  ,  |  ,  ,  |
|   159|     20265   |             |MESE MOZAICATE TIP I                    |10,  ,  |  ,  ,  |  ,  ,  |
