

                      LISTA CU DENUMIREA SI DURATELE OBIECTELOR DE INVENTAR
                      -----------------------------------------------------

                                                                                    PAGINA:          1
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|   251|     20372   |             |COS GUNOI                               |10,  ,  |  ,  ,  |  ,  ,  |
|   252|     20373   |             |CONTOR MONOFAZAT                        |10,  ,  |  ,  ,  |  ,  ,  |
|   253|     20374   |             |OGLINDA BAIE                            |10,  ,  |  ,  ,  |  ,  ,  |
|   254|     20375   |             |RINDEA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   255|     20376   |             |GEANTA DIPLOMAT                         |10,  ,  |  ,  ,  |  ,  ,  |
|   256|     20377   |             |LAVOAR PAFS                             |10,  ,  |  ,  ,  |  ,  ,  |
|   257|     20378   |             |TELEFON MOBIL ALCAT.OTE 01.00           |10,  ,  |  ,  ,  |  ,  ,  |
|   258|     20379   |             |SCARA AL SM 2X11R                       |10,  ,  |  ,  ,  |  ,  ,  |
|   259|     20380   |             |SCARA 1X9 R AL.                         |10,  ,  |  ,  ,  |  ,  ,  |
|   260|     20381   |             |CENTURA SIG.ELECTR.                     |10,  ,  |  ,  ,  |  ,  ,  |
|   261|     20382   |             |FURTUN PSI                              |10,  ,  |  ,  ,  |  ,  ,  |
|   262|     20383   |             |FRIGIDER 24O L                          |10,  ,  |  ,  ,  |  ,  ,  |
|   263|     20384   |             |BIROU B4V3                              |10,  ,  |  ,  ,  |  ,  ,  |
|   264|     20386   |             |MASA BLAT INOX                          |10,  ,  |  ,  ,  |  ,  ,  |
|   265|     20387   |             |DULAP 141                               |10,  ,  |  ,  ,  |  ,  ,  |
|   266|     20388   |             |SCAUN DOR                               |10,  ,  |  ,  ,  |  ,  ,  |
|   267|     20389   |             |CALORIFER ZASS 9 EL                     |10,  ,  |  ,  ,  |  ,  ,  |
|   268|     20390   |             |TELEVIZOR DAEWO                         |10,  ,  |  ,  ,  |  ,  ,  |
|   269|     20391   |             |RADIOCASET DAEWO                        |10,  ,  |  ,  ,  |  ,  ,  |
|   270|     20392   |             |BRAT AFISAJ CANTAR ELECTR               |10,  ,  |  ,  ,  |  ,  ,  |
|   271|     20393   |             |DISTRIBUITOR PROSOAPE                   |10,  ,  |  ,  ,  |  ,  ,  |
|   272|     20394   |             |DISTRIBUITOR H1 8904                    |10,  ,  |  ,  ,  |  ,  ,  |
|   273|     20395   |             |DISTRIBUITOR SAPUN                      |10,  ,  |  ,  ,  |  ,  ,  |
|   274|     20396   |             |DISTRIBUITOR SAPUN 6906                 |10,  ,  |  ,  ,  |  ,  ,  |
|   275|     20399   |             |COS PLASTIC WINDOWS                     |10,  ,  |  ,  ,  |  ,  ,  |
|   276|     20401   |             |USA LEMN                                |10,  ,  |  ,  ,  |  ,  ,  |
|   277|     20403   |             |DULAP D 211                             |10,  ,  |  ,  ,  |  ,  ,  |
|   278|     20404   |             |FRIGIDER 180 L                          |10,  ,  |  ,  ,  |  ,  ,  |
|   279|     20406   |             |RAFT METALIC PT CINTARE                 |10,  ,  |  ,  ,  |  ,  ,  |
|   280|     20407   |             |PARAVAN METALIC WC                      |10,  ,  |  ,  ,  |  ,  ,  |
|   281|     20408   |             |MESE DUBLE                              |10,  ,  |  ,  ,  |  ,  ,  |
|   282|     20409   |             |VITRINE MET CU GEAM                     |10,  ,  |  ,  ,  |  ,  ,  |
|   283|     20410   |             |RAFT MET.POLITE EXP MARFA               |10,  ,  |  ,  ,  |  ,  ,  |
|   284|     20411   |             |DUBLU RADIOCASET                        |10,  ,  |  ,  ,  |  ,  ,  |
|   285|     20412   |             |MASA CONSILIU                           |10,  ,  |  ,  ,  |  ,  ,  |
|   286|     20413   |             |RADIOCASET ELECTRA                      |10,  ,  |  ,  ,  |  ,  ,  |
|   287|     20414   |             |PANOU OBLIGATII                         |10,  ,  |  ,  ,  |  ,  ,  |
|   288|     20415   |             |DULAP 121N                              |10,  ,  |  ,  ,  |  ,  ,  |
|   289|     20416   |             |MASA VITRINA CU PAL                     |10,  ,  |  ,  ,  |  ,  ,  |
|   290|     20418   |             |BOXE MET VARZA                          |10,  ,  |  ,  ,  |  ,  ,  |
|   291|     20420   |             |CARUCIOARE POMPIERI                     |10,  ,  |  ,  ,  |  ,  ,  |
|   292|     20421   |             |FISET METALIC 3 USI                     |10,  ,  |  ,  ,  |  ,  ,  |
|   293|     20422   |             |FIRMA SUCCES IN AFACERI˜˜               |10,  ,  |  ,  ,  |  ,  ,  |
|   294|     20423   |             |MASINA SPALAT AUTOM                     |10,  ,  |  ,  ,  |  ,  ,  |
|   295|     20424   |             |CANAPEA CU 2 FOTOLII                    |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          6
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   296|     20425   |             |DULAP CU 2 USI                          |10,  ,  |  ,  ,  |  ,  ,  |
|   297|     20426   |             |SCAUN EURO ROTATIV                      |10,  ,  |  ,  ,  |  ,  ,  |
|   298|     20428   |             |PANOU STIPLEX HOTEL                     |10,  ,  |  ,  ,  |  ,  ,  |
|   299|     20429   |             |ANTENA AUTO                             |10,  ,  |  ,  ,  |  ,  ,  |
|   300|     20430   |             |COMBINA AUDIO TV                        |10,  ,  |  ,  ,  |  ,  ,  |
|   301|     20431   |             |BIROU 1.6-3301                          |10,  ,  |  ,  ,  |  ,  ,  |
|   302|     20432   |             |CORP 4 SERTARE                          |10,  ,  |  ,  ,  |  ,  ,  |
|   303|     20433   |             |RETUR BIROU                             |10,  ,  |  ,  ,  |  ,  ,  |
|   304|     20434   |             |DULAP 3314                              |10,  ,  |  ,  ,  |  ,  ,  |
|   305|     20435   |             |CORP INF 2 USI                          |10,  ,  |  ,  ,  |  ,  ,  |
|   306|     20436   |             |VITRINA 3320                            |10,  ,  |  ,  ,  |  ,  ,  |
|   307|     20437   |             |CLASOR- DULAP                           |10,  ,  |  ,  ,  |  ,  ,  |
|   308|     20438   |             |BIROU COLT NEGRU                        |10,  ,  |  ,  ,  |  ,  ,  |
|   309|     20439   |             |SCAUN DACTILO                           |10,  ,  |  ,  ,  |  ,  ,  |
|   310|     20440   |             |BIROU 3101                              |10,  ,  |  ,  ,  |  ,  ,  |
|   311|     20441   |             |ANEXA 3102                              |10,  ,  |  ,  ,  |  ,  ,  |
|   312|     20442   |             |COMODA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   313|     20443   |             |DULAP 3113                              |10,  ,  |  ,  ,  |  ,  ,  |
|   314|     20444   |             |FOTOLIU PIELE                           |10,  ,  |  ,  ,  |  ,  ,  |
|   315|     20445   |             |BIROU FEMEI                             |10,  ,  |  ,  ,  |  ,  ,  |
|   316|     20446   |             |BIROU MINISTRU                          |10,  ,  |  ,  ,  |  ,  ,  |
|   317|     20447   |             |SUPORT CALCULATOR                       |10,  ,  |  ,  ,  |  ,  ,  |
|   318|     20448   |             |ETAJERAM 4 SERTARE                      |10,  ,  |  ,  ,  |  ,  ,  |
|   319|     20449   |             |MASINA SCRIS HERMES                     |10,  ,  |  ,  ,  |  ,  ,  |
|   320|     20450   |             |SET IMBUIS                              |10,  ,  |  ,  ,  |  ,  ,  |
|   321|     20451   |             |LERA                                    |10,  ,  |  ,  ,  |  ,  ,  |
|   322|     20452   |             |PRELATA AUTO GUNOIERA                   |10,  ,  |  ,  ,  |  ,  ,  |
|   323|     20453   |             |CHEIE PT ROT. 30/32                     |10,  ,  |  ,  ,  |  ,  ,  |
|   324|     20454   |             |CRIC HIDRAULUC 80T                      |10,  ,  |  ,  ,  |  ,  ,  |
|   325|     20455   |             |TRIUNGHI REFLECT.                       |10,  ,  |  ,  ,  |  ,  ,  |
|   326|     20456   |             |CONTOR APA RECE MULTIJET                |10,  ,  |  ,  ,  |  ,  ,  |
|   327|     20457   |             |FIER CALCAT NIDA                        |10,  ,  |  ,  ,  |  ,  ,  |
|   328|     20458   |             |POLIZOR GWS                             |10,  ,  |  ,  ,  |  ,  ,  |
|   329|     20461   |             |ROTOPERCT GBH 224                       |10,  ,  |  ,  ,  |  ,  ,  |
|   330|     20462   |             |CISME CAUCIUC                           |10,  ,  |  ,  ,  |  ,  ,  |
|   331|     20465   |             |SORTURI ALBE                            |10,  ,  |  ,  ,  |  ,  ,  |
|   332|     20466   |             |TRUSE SANITARE AUTO                     |10,  ,  |  ,  ,  |  ,  ,  |
|   333|     20467   |             |TRIUNGHIURI REFLECT.                    |10,  ,  |  ,  ,  |  ,  ,  |
|   334|     20469   |             |CLESTE PATENT                           |10,  ,  |  ,  ,  |  ,  ,  |
|   335|     20470   |             |CHIUVETA PAFS                           |10,  ,  |  ,  ,  |  ,  ,  |
|   336|     20471   |             |TELEV.PHILIPS 14 PT                     |10,  ,  |  ,  ,  |  ,  ,  |
|   337|     20472   |             |SUPORT PROSOP                           |10,  ,  |  ,  ,  |  ,  ,  |
|   338|     20473   |             |SAVONIERE                               |10,  ,  |  ,  ,  |  ,  ,  |
|   339|     20475   |             |CALCT CITIZEN SDC8840 CONTRACT          |10,  ,  |  ,  ,  |  ,  ,  |
|   340|     20476   |             |SAPA                                    |10,  ,  |  ,  ,  |  ,  ,  |
|   341|     20477   |             |SAPALIGA                                |10,  ,  |  ,  ,  |  ,  ,  |
|   342|     20479   |             |MASINA GAURIT MG 10/08.2000             |10,  ,  |  ,  ,  |  ,  ,  |
|   343|     20480   |             |COS GUNOI-T GALV.-PUBELE                |10,  ,  |  ,  ,  |  ,  ,  |
|   344|     20481   |             |HALATE DOC FEMEI.IX.2000                |10,  ,  |  ,  ,  |  ,  ,  |
|   345|     20482   |             |SCARA AL ARHIVA IX.2000                 |10,  ,  |  ,  ,  |  ,  ,  |
|   346|     20483   |             |RAFT EXP MARFA SIST BAR                 |10,  ,  |  ,  ,  |  ,  ,  |
|   347|     20484   |             |RADIATOR EL 2000W/XI.2000               |10,  ,  |  ,  ,  |  ,  ,  |
|   348|     20485   |             |MOCHETA BLEUMARIN                       |10,  ,  |  ,  ,  |  ,  ,  |
|   349|     20486   |             |SINE PVC                                |10,  ,  |  ,  ,  |  ,  ,  |
|   350|     20487   |             |GECI MATLASATE.XII.2000                 |10,  ,  |  ,  ,  |  ,  ,  |
|   351|     20488   |             |COMODA XII/2000                         |10,  ,  |  ,  ,  |  ,  ,  |
|   352|     20489   |             |ANTENA TV FIF.XII.2000                  |10,  ,  |  ,  ,  |  ,  ,  |
|   353|     20490   |             |SCAUNE TAPITATE.XII.2000                |10,  ,  |  ,  ,  |  ,  ,  |
|   354|     20491   |             |BOILER INSTANT                          |10,  ,  |  ,  ,  |  ,  ,  |
|   355|     20492   |             |LAVOAR CU PICIOR                        |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          7
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   356|     20493   |             |PLUS PT FATA MASA                       |10,  ,  |  ,  ,  |  ,  ,  |
|   357|     20494   |             |SCAUN ROT.CU BRATE XII.2000             |10,  ,  |  ,  ,  |  ,  ,  |
|   358|     20496   |             |IMPRIMANTA EPSON LX30                   |10,  ,  |  ,  ,  |  ,  ,  |
|   359|     20497   |             |DALTI                                   |10,  ,  |  ,  ,  |  ,  ,  |
|   360|     20498   |             |CONVECTOR 01/001                        |10,  ,  |  ,  ,  |  ,  ,  |
|   361|     20499   |             |CALCL CITIZEN SDC 395 01/001            |10,  ,  |  ,  ,  |  ,  ,  |
|   362|     20500   |             |TRANSFORM.SUDURA 180 A                  |10,  ,  |  ,  ,  |  ,  ,  |
|   363|     20501   |             |BOILER 100L                             |10,  ,  |  ,  ,  |  ,  ,  |
|   364|     20502   |             |STAMP.COD FISCAL                        |10,  ,  |  ,  ,  |  ,  ,  |
|   365|     20503   |             |STAMP.NR.1 UNIT.                        |10,  ,  |  ,  ,  |  ,  ,  |
|   366|     20504   |             |STAMP.DATIERA SECRETARIAT               |10,  ,  |  ,  ,  |  ,  ,  |
|   367|     20505   |             |STAMP.CONTR.PREVENT.2                   |10,  ,  |  ,  ,  |  ,  ,  |
|   368|     20506   |             |STAMP.INSP.RESURSE UMANE                |10,  ,  |  ,  ,  |  ,  ,  |
|   369|     20507   |             |VAS WC FONTA TURCESC                    |10,  ,  |  ,  ,  |  ,  ,  |
|   370|     20508   |             |CALCULAT.BIROU CANON WS1600             |10,  ,  |  ,  ,  |  ,  ,  |
|   371|     20509   |             |COSURI GUNOI-PUBELE 06.2001             |10,  ,  |  ,  ,  |  ,  ,  |
|   372|     20510   |             |MESE METAL.PLIANTE 800/800/750          |10,  ,  |  ,  ,  |  ,  ,  |
|   373|     20511   |             |GALANTARE RAME AL.GEAM                  |10,  ,  |  ,  ,  |  ,  ,  |
|   374|     20512   |             |COSURI GUNOI PUBELE XII.2001            |10,  ,  |  ,  ,  |  ,  ,  |
|   375|     20513   |             |TOMBERON GUNOI 3 ROTI                   |10,  ,  |  ,  ,  |  ,  ,  |
|   376|     20514   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   377|     20515   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   378|     20516   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   379|     20517   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   380|     20518   |             |GARD METALIC                            |10,  ,  |  ,  ,  |  ,  ,  |
|   381|     20519   |             |CHIUVETA DIN BETON                      |10,  ,  |  ,  ,  |  ,  ,  |
|   382|     20520   |             |MASA PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   383|     20521   |             |CONTOR APA GRUP SANIT TRAIAN            |10,  ,  |  ,  ,  |  ,  ,  |
|   384|     20522   |             |CONTOR APA GRUP SANIT TRAIAN            |10,  ,  |  ,  ,  |  ,  ,  |
|   385|     20523   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   386|     20524   |             |TARC PEPENI                             |10,  ,  |  ,  ,  |  ,  ,  |
|   387|     20525   |             |GARD METALIC 12ML BIG                   |10,  ,  |  ,  ,  |  ,  ,  |
|   388|     20526   |             |APOMETRU BIG                            |10,  ,  |  ,  ,  |  ,  ,  |
|   389|     20527   |             |MESE PIATA ADP                          |10,  ,  |  ,  ,  |  ,  ,  |
|   390|     20528   |             |TARC PEPENI ADP                         |10,  ,  |  ,  ,  |  ,  ,  |
|   391|     20529   |             |FOTOLIU PRESIDENT                       |10,  ,  |  ,  ,  |  ,  ,  |
|   392|     20530   |             |APARAT TELEF RELATE 550                 |10,  ,  |  ,  ,  |  ,  ,  |
|   393|     20531   |             |APARAT TELEF VANGUARD                   |10,  ,  |  ,  ,  |  ,  ,  |
|   394|     20532   |             |TELEFON MOBIL NOKIA 6210                |10,  ,  |  ,  ,  |  ,  ,  |
|   395|     20533   |             |AFISIER                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   396|     20534   |             |POMPA ZUGRAVIT                          |10,  ,  |  ,  ,  |  ,  ,  |
|   397|     20535   |             |CUTII SESIZARI PT CETATENI              |10,  ,  |  ,  ,  |  ,  ,  |
|   398|     20536   |             |CLESTE PT SIGILAT                       |10,  ,  |  ,  ,  |  ,  ,  |
|   399|     20537   |             |BACK UPS MULTI PATH 500VA               |10,  ,  |  ,  ,  |  ,  ,  |
|   400|     20538   |             |BONETE ALBE                             |10,  ,  |  ,  ,  |  ,  ,  |
|   401|     20539   |             |COS GUNOI CU PEDALA                     |10,  ,  |  ,  ,  |  ,  ,  |
|   402|     20540   |             |MANUSI MENAJ                            |10,  ,  |  ,  ,  |  ,  ,  |
|   403|     20541   |             |PERDELE BAIE                            |10,  ,  |  ,  ,  |  ,  ,  |
|   404|     20542   |             |CADITA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   405|     20543   |             |PAHARE                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   406|     20544   |             |SET PAT ROZALIU ALB                     |10,  ,  |  ,  ,  |  ,  ,  |
|   407|     20545   |             |VESTE VATUITE                           |10,  ,  |  ,  ,  |  ,  ,  |
|   408|     20546   |             |SCAUN LEDA                              |10,  ,  |  ,  ,  |  ,  ,  |
|   409|     20547   |             |PROSOP                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   410|     20549   |             |CLUPA                                   |10,  ,  |  ,  ,  |  ,  ,  |
|   411|     20550   |             |TRUSA CHEI FIXE SI INELARE              |10,  ,  |  ,  ,  |  ,  ,  |
|   412|     20551   |             |TRUSA CHEI FIXE                         |10,  ,  |  ,  ,  |  ,  ,  |
|   413|     20552   |             |TRUSA ELECTRICA TUBULARA                |10,  ,  |  ,  ,  |  ,  ,  |
|   414|     20553   |             |CLESTE TEVI MIC                         |10,  ,  |  ,  ,  |  ,  ,  |
|   415|     20554   |             |CLESTE TEVI 1                           |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          8
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   416|     20555   |             |PATENT                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   417|     20556   |             |BONFAIER                                |10,  ,  |  ,  ,  |  ,  ,  |
|   418|     20557   |             |CIOCAN 2KG                              |10,  ,  |  ,  ,  |  ,  ,  |
|   419|     20558   |             |CIOCAN 1.5KG                            |10,  ,  |  ,  ,  |  ,  ,  |
|   420|     20559   |             |CIOCAN 0.8KG                            |10,  ,  |  ,  ,  |  ,  ,  |
|   421|     20560   |             |CIOCAN 0.5KG                            |10,  ,  |  ,  ,  |  ,  ,  |
|   422|     20561   |             |BAROS                                   |10,  ,  |  ,  ,  |  ,  ,  |
|   423|     20562   |             |MISTRIE                                 |10,  ,  |  ,  ,  |  ,  ,  |
|   424|     20563   |             |NIVELA                                  |10,  ,  |  ,  ,  |  ,  ,  |
|   425|     20564   |             |APARAT TAIAT FAIANTA                    |10,  ,  |  ,  ,  |  ,  ,  |
|   426|     20580   |             |STORCATOR                               |10,  ,  |  ,  ,  |  ,  ,  |
|   427|     20581   |             |MONITOR 17                              |10,  ,  |  ,  ,  |  ,  ,  |
|   428|     20582   |             |STAMPILA "BUN DE PLATA"                 |10,  ,  |  ,  ,  |  ,  ,  |
|   429|     20583   |             |ASPIRATOR                               |10,  ,  |  ,  ,  |  ,  ,  |
|   430|     20584   |             |USA METALICA CASERIE                    |10,  ,  |  ,  ,  |  ,  ,  |
|   431|     30153   |             |COMPRESOR AER                           |10,  ,  |  ,  ,  |  ,  ,  |
|   432|     30508   |             |SPLIT APARAT AER CONDITIONAT            |10,  ,  |  ,  ,  |  ,  ,  |
|   433|     30509   |             |COMPRESOR APARAT AER CONDITIONAT        |10,  ,  |  ,  ,  |  ,  ,  |
|   434|     30510   |             |CHIT INSTALARE APARAT AER CONDITIONAT   |10,  ,  |  ,  ,  |  ,  ,  |
|   435|     30511   |             |UNITATE COMANDA AER CONDITIONAT         |10,  ,  |  ,  ,  |  ,  ,  |
|   436|     30522   |             |CALORIFER ELECTRIC                      |10,  ,  |  ,  ,  |  ,  ,  |
|   437|     30566   |             |POLIDISC                                |10,  ,  |  ,  ,  |  ,  ,  |
|   438|     30567   |             |TELEFON NOKIA 72501                     |10,  ,  |  ,  ,  |  ,  ,  |
|   439|     30568   |             |ACCESORII AER CONDITIONAT               |10,  ,  |  ,  ,  |  ,  ,  |
|   440|     30569   |             |STINGATOR TIP POPRES                    |10,  ,  |  ,  ,  |  ,  ,  |
|   441|     30570   |             |STINGATOR TIP P50                       |10,  ,  |  ,  ,  |  ,  ,  |
|   442|     30572   |             |BIROU 180X80X74                         |10,  ,  |  ,  ,  |  ,  ,  |
|   443|     30573   |             |BIROU 80X80X74                          |10,  ,  |  ,  ,  |  ,  ,  |
|   444|     30574   |             |COLT                                    |10,  ,  |  ,  ,  |  ,  ,  |
|   445|     30575   |             |MASA CONSILIU 200X100                   |10,  ,  |  ,  ,  |  ,  ,  |
|   446|     30576   |             |JUMATATE CERC                           |10,  ,  |  ,  ,  |  ,  ,  |
|   447|     30577   |             |BIBLIOTECA 95X32X157                    |10,  ,  |  ,  ,  |  ,  ,  |
|   448|     30578   |             |USA STICLA SYMPHONY 108X45              |10,  ,  |  ,  ,  |  ,  ,  |
|   449|     30579   |             |BIBLIOTECA 90X32X220                    |10,  ,  |  ,  ,  |  ,  ,  |
|   450|     30580   |             |BIBLIOTECA 45X32X220                    |10,  ,  |  ,  ,  |  ,  ,  |
|   451|     30581   |             |CANAPEA PASSION                         |10,  ,  |  ,  ,  |  ,  ,  |
|   452|     30582   |             |HUSA CANAPEA GRENA                      |10,  ,  |  ,  ,  |  ,  ,  |
|   453|     30583   |             |FOTOLIU PASSION                         |10,  ,  |  ,  ,  |  ,  ,  |
|   454|     30584   |             |SCAUN 1120/N                            |10,  ,  |  ,  ,  |  ,  ,  |
|   455|     30585   |             |TELEVIZOR COLOR PHILIPS 4426            |10,  ,  |  ,  ,  |  ,  ,  |
|   456|     30586   |             |PHILIPS SISTEM HI-FI C330 3CD           |10,  ,  |  ,  ,  |  ,  ,  |
|   457|     30587   |             |PHILIPS FC 6841-ASP SPAL 1500W          |10,  ,  |  ,  ,  |  ,  ,  |
|   458|     30588   |             |HP MULTIFUNCTIONAL PSC 1110             |10,  ,  |  ,  ,  |  ,  ,  |
|   459|     30589   |             |IMPRIMANTA EPSON STYLUS COLOR C42SX     |10,  ,  |  ,  ,  |  ,  ,  |
|   460|     30590   |             |ELECTROMURES RADIAT.9 ELEMENTI          |10,  ,  |  ,  ,  |  ,  ,  |
|   461|     30591   |             |ALASKA ER2510-RADIAT.ULEI 12 ELEM. 2500W|10,  ,  |  ,  ,  |  ,  ,  |
|   462|     30592   |             |VORTEX EOR9 RADIAT. ULEI 9 ELEM.   2000W|10,  ,  |  ,  ,  |  ,  ,  |
|   463|     30593   |             |ELECTROLUX ER2512-RADIATOR ULEI         |10,  ,  |  ,  ,  |  ,  ,  |
|   464|     30594   |             |TURBOHOT CONVECTOR 2000W                |10,  ,  |  ,  ,  |  ,  ,  |
|   465|     30595   |             |AEROTERMA METAL DELONGHI HTMO2     2000W|10,  ,  |  ,  ,  |  ,  ,  |
|   466|     30596   |             |AEROTERMA NEVADA 2000W                  |10,  ,  |  ,  ,  |  ,  ,  |
|   467|     30597   |             |BOILER ARDO 100L                        |10,  ,  |  ,  ,  |  ,  ,  |
|   468|     30598   |             |FRIGIDER ZANUSSI ZD22/5 B,217L          |10,  ,  |  ,  ,  |  ,  ,  |
|   469|     30599   |             |SCAUN ISO LEMN                          |10,  ,  |  ,  ,  |  ,  ,  |
|   470|     30600   |             |MONITOR FLAT ADI V77F 1280X1024         |10,  ,  |  ,  ,  |  ,  ,  |
|   471|     30601   |             |RADIO CD+MP3 PHILIPS AZ1538             |10,  ,  |  ,  ,  |  ,  ,  |
|   472|     30602   |             |MASA CALCULATOR ARIZONA                 |10,  ,  |  ,  ,  |  ,  ,  |
|   473|     30603   |             |BIROU CALCULATOR SIDNEY                 |10,  ,  |  ,  ,  |  ,  ,  |
|   474|     30604   |             |CUIER OFFICE CROM                       |10,  ,  |  ,  ,  |  ,  ,  |
|   475|     30605   |             |MASA SUFRAGERIE LEMN OSLO               |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|                                                                                    PAGINA:          9
|------|-------------|-------------|----------------------------------------|--------------------------|
|NUMAR |   NUMARUL   |    CODUL    |       DENUMIREA MATERIALULUI           |     DURATA AA,LL,ZZ      |
|CURENT|    FISEI    | MATERIALULUI|                                        |FOLOSINT|MAGAZIE |  STOC  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|
|   476|     30606   |             |APARAT SUDURA CU ARC CEN200 220/400V    |10,  ,  |  ,  ,  |  ,  ,  |
|   477|     30607   |             |CAMERA FOTO DIGITALA 2.1.          BTC D|10,  ,  |  ,  ,  |  ,  ,  |
|   478|     30608   |             |MASA CALCULATOR BS01                    |10,  ,  |  ,  ,  |  ,  ,  |
|   479|     30609   |             |SCAUN FIX GRI                           |10,  ,  |  ,  ,  |  ,  ,  |
|   480|     30610   |             |VEIOZA BIROU FLIP ROSU 1X60W E27        |10,  ,  |  ,  ,  |  ,  ,  |
|------|-------------|-------------|----------------------------------------|--------|--------|--------|






















































|------|-------------|-------------|----------------------------------------|--------|--------|--------|