                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|   34| MANUSI PROTECTIE                         |   20007|   per    |  NOU  |       5935.00 |      1.000|          5935 |109|FO| 1|61| 3| 1|01/01/2003|    11.944 |
|   35| SUBA TIP CFR                             |   20009|   buc    |  NOU  |      52500.00 |      1.000|         52500 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   36| MANUSI LACATUS                           |   20010|   per    |  NOU  |      37107.11 |      9.000|        333964 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   37| MANUSI LACATUS                           |   20010|   per    |  NOU  |      37107.00 |      1.000|         37107 |109|FO| 1|52| 3| 1|01/01/2003|    11.944 |
|   38| MANUSI LACATUS                           |   20010|   per    |  NOU  |      37107.00 |      2.000|         74214 |109|FO| 1|57| 3| 1|01/01/2003|    11.944 |
|   39| MANUSI LACATUS                           |   20010|   per    |  NOU  |      37107.00 |      1.000|         37107 |109|FO| 1|60| 3| 1|01/01/2003|    11.944 |
|   40| MANUSI LACATUS                           |   20010|   per    |  NOU  |      37107.00 |      1.000|         37107 |109|FO| 1|64| 3| 1|01/01/2003|    11.944 |
|   41| PUBELE GUNOI                             |   20011|   buc    |  NOU  |     157573.47 |     30.000|       4727204 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   42| PUBELE GUNOI                             |   20011|   buc    |  NOU  |     157573.40 |      5.000|        787867 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|   43| PUBELE GUNOI                             |   20011|   buc    |  NOU  |     157573.33 |      3.000|        472720 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|   44| MANUSI SUDOR                             |   20012|   per    |  NOU  |      31843.00 |      3.000|         95529 | 52|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|   45| LOPETI                                   |   20013|   buc    |  NOU  |       8661.25 |      8.000|         69290 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|   46| LOPETI                                   |   20013|   buc    |  NOU  |       8661.25 |      4.000|         34645 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
