                                 SITUATIA OBIECTELOR DE INVENTAR LA DATA 06/03/2004               

                                                                                                             
 -  -   -  -   -                                                                                             

CONTUL: 52=602.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA: 50 = MAGAZIA CENTRALA       SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     1
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  241| APOMETRU                                 |   20089|   buc    |  NOU  |     426180.00 |      1.000|        426180 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  242| APOMETRU                                 |   20089|   buc    |  NOU  |     426180.00 |      1.000|        426180 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  243| APOMETRU                                 |   20089|   buc    |  NOU  |     426179.50 |      2.000|        852359 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  244| APOMETRU                                 |   20089|   buc    |  NOU  |     426180.00 |      1.000|        426180 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  245| APOMETRU                                 |   20089|   buc    |  NOU  |     426179.50 |      4.000|       1704718 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  246| APOMETRU                                 |   20089|   buc    |  NOU  |     426180.00 |      1.000|        426180 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  247| TIRNACOP                                 |   20090|   buc    |  NOU  |      38838.00 |      2.000|         77676 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  248| MESE BUFET                               |   20091|   buc    |  NOU  |      15434.00 |      1.000|         15434 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  249| MESE BUFET                               |   20091|   buc    |  NOU  |      15433.94 |     17.000|        262377 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  250| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.60 |     10.000|       2491926 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  251| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.67 |      3.000|        747578 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  252| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.50 |      2.000|        498385 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  253| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.50 |      2.000|        498385 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  254| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.64 |     11.000|       2741119 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  255| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249193.00 |      1.000|        249193 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  256| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.50 |      4.000|        996770 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  257| CINTARE 20 KG                            |   20092|   buc    |  NOU  |     249192.58 |     12.000|       2990311 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  258| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.65 |     79.000|      18885001 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  259| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.63 |     57.000|      13625886 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  260| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.63 |     38.000|       9083924 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  261| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.65 |     26.000|       6215317 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  262| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.65 |     26.000|       6215317 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  263| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.63 |     38.000|       9083924 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  264| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.52 |     21.000|       5020061 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  265| CINTARE 10 KG                            |   20093|   buc    |  NOU  |     239050.64 |    168.000|      40160508 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  266| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.00 |      1.000|         53452 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  267| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.50 |     10.000|        534525 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  268| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.44 |      9.000|        481072 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  269| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.50 |      8.000|        427620 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  270| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.00 |      1.000|         53452 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  271| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.50 |      4.000|        213810 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  272| CINTARE 5 KG                             |   20094|   buc    |  NOU  |      53452.46 |     13.000|        694882 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  273| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.58 |     24.000|       1588070 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  274| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.62 |      8.000|        529357 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  275| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.60 |     10.000|        661696 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  276| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.50 |      4.000|        264678 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  277| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66170.00 |      1.000|         66170 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  278| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.60 |     10.000|        661696 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  279| GREUTATI 5 KG                            |   20095|   buc    |  NOU  |      66169.67 |      3.000|        198509 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  280| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.67 |     91.000|       4460972 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  281| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.68 |     80.000|       3921734 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  282| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.68 |     53.000|       2598149 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  283| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.67 |     27.000|       1323585 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  284| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.67 |     46.000|       2254997 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  285| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.68 |     34.000|       1666737 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA:  9 = PIATA TEILOR           SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     6
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  286| GREUTATI 2 KG                            |   20096|   buc    |  NOU  |      49021.65 |     23.000|       1127498 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  287| GREUTATI 1 KG                            |   20097|    b     |  NOU  |      39069.61 |     82.000|       3203708 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  288| GREUTATI 1 KG                            |   20097|    b     |  NOU  |      39069.62 |     32.000|       1250228 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  289| GREUTATI 1 KG                            |   20097|    b     |  NOU  |      39069.61 |     51.000|       1992550 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  290| GREUTATI 1 KG                            |   20097|   buc    |  NOU  |      39069.61 |    144.000|       5626024 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  291| GREUTATI 1 KG                            |   20097|   buc    |  NOU  |      39069.61 |     56.000|       2187898 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  292| GREUTATI 1 KG                            |   20097|   buc    |  NOU  |      39069.61 |     31.000|       1211158 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  293| GREUTATI 1 KG                            |   20097|   buc    |  NOU  |      39069.56 |     16.000|        625113 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  294| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.31 |    212.000|       4283950 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  295| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.31 |     83.000|       1677207 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  296| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.32 |     50.000|       1010366 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  297| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.31 |     51.000|       1030573 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  298| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.30 |     66.000|       1333682 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  299| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.32 |     34.000|        687049 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  300| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.27 |     30.000|        606218 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  301| GREUTATI O.500 KG                        |   20098|   buc    |  NOU  |      20207.32 |     38.000|        767878 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  302| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.11 |    240.000|       3093386 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  303| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.11 |    148.000|       1907588 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  304| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.11 |     71.000|        915127 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  305| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.11 |     71.000|        915127 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  306| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.10 |     31.000|        399562 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  307| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.11 |     55.000|        708901 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  308| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.17 |     23.000|        296451 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  309| GREUTATI 0.200 KG                        |   20099|   buc    |  NOU  |      12889.09 |     22.000|        283560 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  310| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.69 |     36.000|        334321 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  311| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.70 |     74.000|        687216 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  312| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.70 |     10.000|         92867 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  313| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.67 |      3.000|         27860 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  314| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.70 |     27.000|        250741 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  315| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.70 |     37.000|        343608 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  316| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.57 |      7.000|         65006 |109|FO| 1| 9| 3| 1|01/01/2003|    11.944 |
|  317| GREUTATI  A 0.100 KG                     |   20100|   buc    |  NOU  |       9286.71 |      7.000|         65007 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  318| CONFECTII METALICE                       |   20101|    kg    |  NOU  |      11767.63 |    252.000|       2965443 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  319| MICROFON                                 |   20102|   buc    |  NOU  |      30383.00 |      1.000|         30383 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  320| MICROFON                                 |   20102|   buc    |  NOU  |      30383.00 |      1.000|         30383 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  321| MICROFON                                 |   20102|   buc    |  NOU  |      30383.00 |      1.000|         30383 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  322| CORP MOBIL                               |   20103|   buc    |  NOU  |     658935.50 |      2.000|       1317871 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  323| CORP MOBIL                               |   20103|   buc    |  NOU  |     658936.00 |      1.000|        658936 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  324| CORP MOBIL                               |   20103|   buc    |  NOU  |     658936.00 |      1.000|        658936 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  325| CORP MOBIL                               |   20103|   buc    |  NOU  |     658935.50 |      2.000|       1317871 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  326| CORP MOBIL                               |   20103|   buc    |  NOU  |     658936.00 |      1.000|        658936 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  327| BOXE RADIO                               |   20104|   buc    |  NOU  |     521606.00 |      2.000|       1043212 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  328| FIRMA PLASTIC                            |   20105|   buc    |  NOU  |      58012.00 |      1.000|         58012 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  329| FIRMA PLASTIC                            |   20105|   buc    |  NOU  |      58012.00 |      1.000|         58012 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  330| FIRME SECTORIZARE                        |   20106|   buc    |  NOU  |     107818.00 |     10.000|       1078180 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  331| FIRME SECTORIZARE                        |   20106|   buc    |  NOU  |     107818.00 |      1.000|        107818 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  332| CARUCIOR BASCULA                         |   20108|   buc    |  NOU  |    1221926.00 |      2.000|       2443852 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  333| CARUCIOR BASCULA                         |   20108|   buc    |  NOU  |    1221926.00 |      1.000|       1221926 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  334| SCARA METALICA                           |   20111|   buc    |  NOU  |     572658.00 |      1.000|        572658 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  335| FURCULITE                                |   20112|   buc    |  NOU  |        650.00 |      6.000|          3900 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  336| CUTITE                                   |   20113|   buc    |  NOU  |       1360.00 |      6.000|          8160 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  337| CUTITE                                   |   20113|   buc    |  NOU  |       1360.00 |      6.000|          8160 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  338| SERVICIU MASA 6                          |   20114|   buc    |  NOU  |        450.00 |      6.000|          2700 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  339| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      1.000|        820439 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  340| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      1.000|        820439 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  341| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      1.000|        820439 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  342| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      2.000|       1640878 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  343| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      1.000|        820439 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|CONTUL:109=603.04.04.03.26.03.11 ALTE OBIECTE DE INVENTAR                            Uz/St 0=FOLOSINTA   GEST.(Ge):  1=ADM PIETELOR PITESTI
LOCUL UNDE SE AFLA:  6 = PIATA PRUNDU           SURSA FINANTARE (F):  3=BUGET CAP.51.03  PROVENIENTA (P):  1 =INZ. ORG.CENTR.  pagina:     7
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  Nr.|                                          |        |          |       |    PRETUL     |           |               |Co-|Uz|Ge|Lo|F |P |          |  Procent  |
|  crt|         DENUMIREA MATERIALULUI           | NUMAR  | UNITATE  |STAREA |    UNITAR     | CANTITATE |    VALOARE    |nt |/ |  |cu|  |  |Data intr | actual de |
|     |                                          |  FISA  | MASURA   |       |               |           |               |   |St|  |  |  |  |          | folosire  |
|-----|------------------------------------------|--------|----------|-------|---------------|-----------|---------------|---|--|--|--|--|--|----------|-----------|
|  344| BIROU B1 V3                              |   20116|   buc    |  NOU  |     820439.00 |      1.000|        820439 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  345| CONTOR TRIFAZIC                          |   20117|   buc    |  NOU  |      19995.00 |      1.000|         19995 |109|FO| 1| 4| 3| 1|01/01/2003|    11.944 |
|  346| OGLINDA                                  |   20120|   buc    |  NOU  |       2651.00 |      2.000|          5302 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  347| OGLINDA                                  |   20120|   buc    |  NOU  |       2651.00 |      1.000|          2651 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  348| OGLINDA                                  |   20120|   buc    |  NOU  |       2651.00 |     23.000|         60973 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  349| USA METALICA                             |   20123|   buc    |  NOU  |      74278.00 |      1.000|         74278 |109|FO| 1| 5| 3| 1|01/01/2003|    11.944 |
|  350| USA METALICA                             |   20123|   buc    |  NOU  |      74278.00 |      1.000|         74278 |109|FO| 1| 6| 3| 1|01/01/2003|    11.944 |
|  351| TONETE INCASARI                          |   20125|   buc    |  NOU  |      31549.91 |     11.000|        347049 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  352| GALETI ZINCATE                           |   20126|   buc    |  NOU  |       2517.00 |      1.000|          2517 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  353| PAHARE                                   |   20127|   buc    |  NOU  |       1296.00 |      6.000|          7776 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  354| TABLA SECTORIZARE                        |   20128|   buc    |  NOU  |       2308.00 |      5.000|         11540 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  355| SALTELE                                  |   20129|   buc    |  NOU  |      41449.50 |      4.000|        165798 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  356| PLITA CU RAMA                            |   20130|   buc    |  NOU  |       1257.00 |      2.000|          2514 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  357| VAS WC                                   |   20131|   buc    |  NOU  |       9154.50 |      2.000|         18309 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  358| VAS WC                                   |   20131|   buc    |  NOU  |       9155.00 |      1.000|          9155 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  359| PATURI MELANA                            |   20134|   buc    |  NOU  |       8276.73 |    124.000|       1026315 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  360| REZERVOR WC                              |   20136|   buc    |  NOU  |      13085.00 |      1.000|         13085 |109|FO| 1| 2| 3| 1|01/01/2003|    11.944 |
|  361| REZERVOR WC                              |   20136|   buc    |  NOU  |      13085.00 |      1.000|         13085 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  362| BARIERA                                  |   20137|   buc    |  NOU  |      72500.00 |      1.000|         72500 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  363| CUIERE PERETE HOTEL                      |   20145|   buc    |  NOU  |       6134.93 |     15.000|         92024 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  364| DULAP CRUCE ROSIE                        |   20146|   buc    |  NOU  |       5431.00 |      1.000|          5431 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  365| GARNITURI PAT                            |   20147|   buc    |  NOU  |      12739.67 |     30.000|        382190 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  366| LIGHEANE                                 |   20149|   buc    |  NOU  |      10169.50 |      4.000|         40678 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  367| PERNE BURDUF                             |   20151|   buc    |  NOU  |       6851.05 |     39.000|        267191 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  368| RAME REGULAMENT                          |   20152|   buc    |  NOU  |        405.62 |     21.000|          8518 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  369| MASA FANTEZIE                            |   20154|   buc    |  NOU  |      43513.00 |      1.000|         43513 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  370| FOTOLII                                  |   20155|   buc    |  NOU  |      72524.50 |      2.000|        145049 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  371| MASA PERSONAL                            |   20156|   buc    |  NOU  |      29011.00 |      1.000|         29011 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  372| SCAUNE WC                                |   20157|   buc    |  NOU  |       8689.00 |      2.000|         17378 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  373| APLICE DREPTE                            |   20158|   buc    |  NOU  |      10160.00 |      5.000|         50800 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  374| PENDULE                                  |   20159|   buc    |  NOU  |       3097.60 |     15.000|         46464 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  375| RAFTURI LENJERIE                         |   20160|   buc    |  NOU  |      24685.50 |      2.000|         49371 |109|FO| 1| 7| 3| 1|01/01/2003|    11.944 |
|  376| MASINI CALCULAT AURORA                   |   20162|   buc    |  NOU  |     228288.00 |      1.000|        228288 |109|FO| 1| 1| 3| 1|01/01/2003|    11.944 |
|  377| MASINI CALCULAT AURORA                   |   20162|   buc    |  NOU  |     228287.75 |      4.000|        913151 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  378| SET PT SARE PIPER                        |   20163|   buc    |  NOU  |       3356.00 |      1.000|          3356 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  379| ALARMA CASIERIE                          |   20164|   buc    |  NOU  |     815723.00 |      1.000|        815723 |109|FO| 1|50| 3| 1|01/01/2003|    11.944 |
|  380| DULAP METALIC PT SCULE                   |   20165|   buc    |  NOU  |    1324876.00 |      1.000|       1324876 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  381| APARAT TELEFONIC                         |   20166|   buc    |  NOU  |      49569.00 |      1.000|         49569 |109|FO| 1| 3| 3| 1|01/01/2003|    11.944 |
|  382| APARAT TELEFONIC                         |   20166|   buc    |  NOU  |      49569.00 |      3.000|        148707 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  383| OFICCE 2000                              |   20168|   buc    |  NOU  |     100808.00 |      2.000|        201616 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  384| LAMPA BIROU                              |   20169|   buc    |  NOU  |      75264.00 |      1.000|         75264 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  385| LINGURITE                                |   20177|   buc    |  NOU  |        464.50 |      2.000|           929 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  386| GEANTA DIPLOMAT                          |   20179|   buc    |  NOU  |     149888.00 |      2.000|        299776 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  387| FILTRU CAFEA                             |   20180|   buc    |  NOU  |      86665.50 |      2.000|        173331 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  388| HUSE MONITOR                             |   20181|   buc    |  NOU  |       3889.80 |     10.000|         38898 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  389| STAMPILE                                 |   20182|   buc    |  NOU  |       3232.00 |      3.000|          9696 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  390| CUTIE MET CARTI MUNCA                    |   20183|   buc    |  NOU  |       3894.00 |      1.000|          3894 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  391| BIROU FEMEI                              |   20186|   buc    |  NOU  |     628048.00 |      1.000|        628048 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
|  392| BIROU FEMEI                              |   20186|   buc    |  NOU  |     628048.00 |      1.000|        628048 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  393| APARAT RADIO                             |   20188|   buc    |  NOU  |     249030.86 |      7.000|       1743216 |109|FO| 1|99| 3| 1|01/01/2003|    11.944 |
|  394| MASA SEDINTA                             |   20189|   buc    |  NOU  |       2896.00 |      1.000|          2896 |109|FO| 1| 8| 3| 1|01/01/2003|    11.944 |
