                                                                          BALANTA ANALITICA
                                                          A OBIECTELOR DE INVENTAR PENTRU PERIOADA  01/01/2004 - 08/05/2004


                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     1
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|   46|   20062| BROASCA YALA                            | buc        | NOU     |    0     |    14    |    0     |    14    |               |        166557 |               |        166557 |
|   47|   20064| CUIERE PERETE                           | buc        | NOU     |    0     |    2     |    0     |    2     |               |          6792 |               |          6792 |
|   48|   20065| FISET METALIC 2 USI                     | buc        | NOU     |    0     |    22    |    0     |    22    |               |      22830512 |               |      22830512 |
|   49|   20066| COSURI GUNOI                            | buc        | NOU     |    0     |    13    |    0     |    13    |               |         99234 |               |         99234 |
|   50|   20067| TAVI INOX                               | buc        | NOU     |    0     |    95    |    0     |    95    |               |        257963 |               |        257963 |
|   51|   20069| CHIUVETA FONTA                          | buc        | NOU     |    0     |    5     |    0     |    5     |               |       1797855 |               |       1797855 |
|   52|   20070| FURTUN D 25                             | ml         | NOU     |    0     |   315    |    0     |   315    |               |        591944 |               |        591944 |
|   53|   20072| \RAME METALICE                          | buc        | NOU     |    0     |    38    |    0     |    38    |               |       3147849 |               |       3147849 |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
                                                                                                                                                                                  08/05/2004                                                                                                              
 ADM PIETELOR PITESTI -  -   -  -   -                                                                                        PERIOADA:  01/01/2004 - 08/05/2004            pagina:     2
|-----|--------|-----------------------------------------|------------|---------|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | UNITATE    |  STARE  |            C A N T I T A T I V            |                   V A L O R I C                               |
| Crt.| FISA   |             DENUMIREA MATERIALULUI      |   DE       | MATERIAL|-------------------------------------------|---------------------------------------------------------------|
|     |        |                                         | MASURA     |         |STOC PREC.| INTRARI  |  IESIRI  |   STOC   |  SOLD INITIAL |    DEBIT      |    CREDIT     |     SOLD      |
|-----|--------|-----------------------------------------|------------|---------|----------|----------|----------|----------|---------------|---------------|---------------|---------------|
|   54|   20073| STELAJE PT CAR4CASE                     | buc        | NOU     |    0     |    16    |    0     |    16    |               |       1031207 |               |       1031207 |
|   55|   20075| SORTURI ALBE                            | buc        | NOU     |    0     |    47    |    0     |    47    |               |         78113 |               |         78113 |
|   56|   20076| PINZA DECORATIVA                        | mp         | NOU     |    0     |  6.100   |    0     |  6.100   |               |          9760 |               |          9760 |
|   57|   20077| AEROTERMA                               | buc        | NOU     |    0     |    2     |    0     |    2     |               |         67798 |               |         67798 |
|   58|   20078| SCAUNE PLOIESTI                         | buc        | NOU     |    0     |    38    |    0     |    38    |               |       1786007 |               |       1786007 |
|   59|   20079| MESE MOZAICATE                          | buc        | NOU     |    0     |   511    |    0     |   511    |               |     472939792 |               |     472939792 |
|   60|   20080| GRILAJ FIER GEAM                        | buc        | NOU     |    0     |   282    |    0     |   282    |               |       5130758 |               |       5130758 |
|   61|   20081| GRILAJ USA                              | buc        | NOU     |    0     |    2     |    0     |    2     |               |        125260 |               |        125260 |
|   62|   20082| LUSTRA CU 3 BRATE                       | buc        | NOU     |    0     |    9     |    0     |    9     |               |        706773 |               |        706773 |
|   63|   20083| BIROU LAMIITA                           | buc        | NOU     |    0     |    3     |    0     |    3     |               |        548797 |               |        548797 |
|   64|   20084| VESTIARE 4 COMP                         | buc        | NOU     |    0     |    3     |    0     |    3     |               |        633071 |               |        633071 |
|   65|   20085| ACOPERIS MESE INOX                      | buc        | NOU     |    0     |    12    |    0     |    12    |               |       1409892 |               |       1409892 |
|   66|   20087| PUBELE GUNOI                            | buc        | NOU     |    0     |    24    |    0     |    24    |               |       1650970 |               |       1650970 |
|   67|   20088| STAMPILA TRIUNGHIULARA                  | buc        | NOU     |    0     |    8     |    0     |    8     |               |         17200 |               |         17200 |
|   68|   20089| APOMETRU                                | buc        | NOU     |    0     |    12    |    0     |    12    |               |       5114156 |               |       5114156 |
|   69|   20090| TIRNACOP                                | buc        | NOU     |    0     |    2     |    0     |    2     |               |         77676 |               |         77676 |
|   70|   20091| MESE BUFET                              | buc        | NOU     |    0     |    18    |    0     |    18    |               |        277811 |               |        277811 |
|   71|   20092| CINTARE 20 KG                           | buc        | NOU     |    0     |    45    |    0     |    45    |               |      11213667 |               |      11213667 |
|   72|   20093| CINTARE 10 KG                           | buc        | NOU     |    0     |   453    |    0     |   453    |               |     108289938 |               |     108289938 |
|   73|   20094| CINTARE 5 KG                            | buc        | NOU     |    0     |    46    |    0     |    46    |               |       2458813 |               |       2458813 |
|   74|   20095| GREUTATI 5 KG                           | buc        | NOU     |    0     |    60    |    0     |    60    |               |       3970176 |               |       3970176 |
|   75|   20096| GREUTATI 2 KG                           | buc        | NOU     |    0     |   354    |    0     |   354    |               |      17353672 |               |      17353672 |
|   76|   20097| GREUTATI 1 KG                           | buc        | NOU     |    0     |   412    |    0     |   412    |               |      16096679 |               |      16096679 |
|   77|   20098| GREUTATI O.500 KG                       | buc        | NOU     |    0     |   564    |    0     |   564    |               |      11396923 |               |      11396923 |
|   78|   20099| GREUTATI 0.200 KG                       | buc        | NOU     |    0     |   654    |    0     |   654    |               |       8429479 |               |       8429479 |
|   79|   20100| GREUTATI  A 0.100 KG                    | buc        | NOU     |    0     |   194    |    0     |   194    |               |       1801619 |               |       1801619 |
|   80|   20101| CONFECTII METALICE                      | kg         | NOU     |    0     |   252    |    0     |   252    |               |       2965443 |               |       2965443 |
|   81|   20102| MICROFON                                | buc        | NOU     |    0     |    3     |    0     |    3     |               |         91149 |               |         91149 |
|   82|   20103| CORP MOBIL                              | buc        | NOU     |    0     |    7     |    0     |    7     |               |       4612550 |               |       4612550 |
|   83|   20104| BOXE RADIO                              | buc        | NOU     |    0     |    2     |    0     |    2     |               |       1043212 |               |       1043212 |
|   84|   20105| FIRMA PLASTIC                           | buc        | NOU     |    0     |    2     |    0     |    2     |               |        116024 |               |        116024 |
|   85|   20106| FIRME SECTORIZARE                       | buc        | NOU     |    0     |    11    |    0     |    11    |               |       1185998 |               |       1185998 |
|   86|   20108| CARUCIOR BASCULA                        | buc        | NOU     |    0     |    3     |    0     |    3     |               |       3665778 |               |       3665778 |
|   87|   20111| SCARA METALICA                          | buc        | NOU     |    0     |    1     |    0     |    1     |               |        572658 |               |        572658 |
|   88|   20112| FURCULITE                               | buc        | NOU     |    0     |    6     |    0     |    6     |               |          3900 |               |          3900 |
|   89|   20113| CUTITE                                  | buc        | NOU     |    0     |    12    |    0     |    12    |               |         16320 |               |         16320 |
|   90|   20114| SERVICIU MASA 6                         | buc        | NOU     |    0     |    6     |    0     |    6     |               |          2700 |               |          2700 |
|   91|   20116| BIROU B1 V3                             | buc        | NOU     |    0     |    7     |    0     |    7     |               |       5743073 |               |       5743073 |
|   92|   20117| CONTOR TRIFAZIC                         | buc        | NOU     |    0     |    1     |    0     |    1     |               |         19995 |               |         19995 |
|   93|   20120| OGLINDA                                 | buc        | NOU     |    0     |    26    |    0     |    26    |               |         68926 |               |         68926 |
|   94|   20123| USA METALICA                            | buc        | NOU     |    0     |    2     |    0     |    2     |               |        148556 |               |        148556 |
|   95|   20125| TONETE INCASARI                         | buc        | NOU     |    0     |    11    |    0     |    11    |               |        347049 |               |        347049 |
|   96|   20126| GALETI ZINCATE                          | buc        | NOU     |    0     |    1     |    0     |    1     |               |          2517 |               |          2517 |
|   97|   20127| PAHARE                                  | buc        | NOU     |    0     |    6     |    0     |    6     |               |          7776 |               |          7776 |
|   98|   20128| TABLA SECTORIZARE                       | buc        | NOU     |    0     |    5     |    0     |    5     |               |         11540 |               |         11540 |
|   99|   20129| SALTELE                                 | buc        | NOU     |    0     |    4     |    0     |    4     |               |        165798 |               |        165798 |
|  100|   20130| PLITA CU RAMA                           | buc        | NOU     |    0     |    2     |    0     |    2     |               |          2514 |               |          2514 |
|  101|   20131| VAS WC                                  | buc        | NOU     |    0     |    3     |    0     |    3     |               |         27464 |               |         27464 |
|  102|   20134| PATURI MELANA                           | buc        | NOU     |    0     |   124    |    0     |   124    |               |       1026315 |               |       1026315 |
